,date,open,high,low,close,volume,money
99,2005-06-08,44.8,49.74,44.8,49.41,1103910.0,52789496.0
100,2005-06-09,49.3,50.18,48.0,48.33,777000.0,38204045.0
101,2005-06-10,48.12,48.87,46.6,47.02,416509.0,19681140.0
102,2005-06-13,47.15,48.0,46.55,47.23,706973.0,33389071.0
103,2005-06-14,47.0,48.47,47.0,47.67,727149.0,34530651.0
104,2005-06-15,47.11,48.0,47.1,47.63,159677.0,7599370.0
105,2005-06-16,47.7,48.51,47.5,48.49,593153.0,28452404.0
106,2005-06-17,48.5,49.0,47.62,48.5,326299.0,15703945.0
107,2005-06-20,49.0,53.1,48.5,51.8,1236889.0,62906075.0
108,2005-06-21,51.49,51.99,50.56,50.82,259792.0,13347957.0
109,2005-06-22,50.8,52.5,50.79,52.31,612174.0,31728393.0
110,2005-06-23,52.28,52.57,51.69,52.09,527645.0,27503937.0
111,2005-06-24,51.66,52.6,49.1,52.51,615049.0,31786457.0
112,2005-06-27,52.8,54.94,52.4,54.85,1082423.0,58344425.0
113,2005-06-28,54.0,54.49,53.02,53.4,376636.0,20129464.0
114,2005-06-30,53.0,54.35,53.0,53.65,1277817.0,68740725.0
115,2005-07-01,54.99,54.99,51.21,52.36,610431.0,32182036.0
116,2005-07-04,52.0,52.8,51.52,52.29,301851.0,15730157.0
117,2005-07-05,52.0,52.0,51.56,51.97,224838.0,11662288.0
118,2005-07-06,51.75,52.0,50.0,50.31,631676.0,32226601.0
119,2005-07-07,50.0,50.96,49.66,50.51,578532.0,29052550.0
120,2005-07-08,50.16,52.2,50.16,51.9,693076.0,35940472.0
121,2005-07-11,52.0,53.1,51.76,51.96,656277.0,34538170.0
122,2005-07-12,51.87,53.7,51.24,53.5,571243.0,30210107.0
123,2005-07-13,53.39,53.48,50.5,52.5,385796.0,19981575.0
124,2005-07-14,52.0,52.98,51.97,52.9,201266.0,10624551.0
125,2005-07-15,52.51,53.28,52.51,52.99,100290.0,5300561.0
126,2005-07-18,52.95,53.2,52.56,52.7,156407.0,8258010.0
127,2005-07-19,52.68,53.37,52.6,52.95,132540.0,7015760.0
128,2005-07-20,52.94,52.97,51.92,52.11,301229.0,15767931.0
129,2005-07-21,52.11,52.56,51.3,51.98,253682.0,13127981.0
130,2005-07-22,52.0,52.87,51.58,52.07,609596.0,31708848.0
131,2005-07-25,52.01,52.28,51.08,51.36,696189.0,35971529.0
132,2005-07-26,51.0,52.08,51.0,51.79,800824.0,41433496.0
133,2005-07-27,52.28,53.2,52.0,52.87,536982.0,28350004.0
134,2005-07-28,52.88,53.48,52.53,53.3,859252.0,45732284.0
135,2005-07-29,53.02,53.5,53.0,53.16,242518.0,12951117.0
136,2005-08-01,53.24,53.8,53.0,53.58,384030.0,20465514.0
137,2005-08-02,53.53,53.7,52.75,53.38,426287.0,22676468.0
138,2005-08-03,53.2,53.7,53.0,53.59,818421.0,43619808.0
139,2005-08-04,53.69,55.8,53.69,55.51,1056044.0,58044426.0
140,2005-08-05,46.66,47.46,46.0,46.65,636516.0,29678263.0
141,2005-08-08,46.7,46.98,44.8,46.11,854555.0,39434837.0
142,2005-08-09,46.0,46.0,45.11,45.44,584198.0,26540331.0
143,2005-08-10,45.12,46.5,45.12,46.17,580027.0,26665195.0
144,2005-08-11,46.01,47.4,46.01,47.37,1359360.0,63589532.0
145,2005-08-12,47.37,47.4,46.37,47.02,471545.0,22081209.0
146,2005-08-15,46.89,48.59,46.0,47.99,702040.0,32711316.0
147,2005-08-16,47.99,47.99,46.94,47.48,575151.0,27203993.0
148,2005-08-17,49.69,52.23,46.5,48.82,1250674.0,60400828.0
149,2005-08-18,49.5,49.8,47.0,47.09,1098909.0,52638476.0
150,2005-08-19,46.88,47.44,46.68,47.09,497271.0,23314587.0
151,2005-08-22,46.98,47.81,46.5,47.5,692987.0,32877617.0
152,2005-08-23,47.2,48.06,47.2,48.01,478600.0,22825313.0
